,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,nome,data_lancamento,Popularidade Musica,Artista,ano_lancamento,mes_lancamento,dia_semana_lancamento,Popularidade Artista,Seguidores,Estilos
193,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,audio_features,04sN26COy28wTXYj3dMoiZ,spotify:track:04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/tracks/04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/audio-analysis/04sN26COy28wTXYj3dMoiZ,180933,4,Bored,2017-03-30,84,Billie Eilish,2017.0,3.0,3.0,86,64069052,"['art pop', 'electropop', 'pop']"
194,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4,The Hills,2015-08-28,85,The Weeknd,2015.0,8.0,4.0,91,45873723,"['canadian contemporary r&b', 'canadian pop', 'pop']"
195,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045,audio_features,6OrTKLtcF7EBayOV2QqkSK,spotify:track:6OrTKLtcF7EBayOV2QqkSK,https://api.spotify.com/v1/tracks/6OrTKLtcF7EBayOV2QqkSK,https://api.spotify.com/v1/audio-analysis/6OrTKLtcF7EBayOV2QqkSK,221538,4,Hold That Heat (feat. Travis Scott),2022-04-22,77,Southside,2022.0,4.0,4.0,60,58464,['atl hip hop']
196,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560,4,All of Me,2013-08-30,84,John Legend,2013.0,8.0,4.0,75,6190211,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
197,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,audio_features,7iL6o9tox1zgHpKUfh9vuC,spotify:track:7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/tracks/7iL6o9tox1zgHpKUfh9vuC,https://api.spotify.com/v1/audio-analysis/7iL6o9tox1zgHpKUfh9vuC,193467,4,In Da Club,2003-02-06,82,50 Cent,2003.0,2.0,3.0,81,9041592,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
198,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,215733,4,Shallow,2018-10-05,83,Lady Gaga,2018.0,10.0,4.0,83,22382628,"['art pop', 'dance pop', 'pop']"
199,0.577,0.363,7,-12.378,1,0.0263,0.86,0.000282,0.0868,0.265,91.511,audio_features,75UMtPC77vqKRwfSuYuNPO,spotify:track:75UMtPC77vqKRwfSuYuNPO,https://api.spotify.com/v1/tracks/75UMtPC77vqKRwfSuYuNPO,https://api.spotify.com/v1/audio-analysis/75UMtPC77vqKRwfSuYuNPO,247197,4,San Lucas,2019-11-07,85,Kevin Kaarl,2019.0,11.0,3.0,77,2171359,['indie triste']
200,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,audio_features,5aAx2yezTd8zXrkmtKl66Z,spotify:track:5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,230453,4,Starboy,2016-11-25,0,The Weeknd,2016.0,11.0,4.0,91,45873723,"['canadian contemporary r&b', 'canadian pop', 'pop']"
201,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4,Closer,2016-07-29,84,The Chainsmokers,2016.0,7.0,4.0,80,19177592,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
202,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088,4,Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,76,Clean Bandit,2016.0,10.0,4.0,75,4816541,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
